CurrencyKey,CustomerKey,OrderDateKey,OrderQuantity,ProductKey,SalesAmount,TaxAmt,TotalProductCost,UnitPrice
39,11591,20110111,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,11592,20110111,1,313,$3578.27,$286.2616,$2171.2942,$3578.27
39,11593,20110121,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,11599,20110118,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,11601,20110119,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,11606,20110108,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,11607,20110119,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,11611,20110123,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12124,20110129,1,314,$3578.27,$286.2616,$2171.2942,$3578.27
39,12131,20110221,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,12132,20110130,1,310,$3578.27,$286.2616,$2171.2942,$3578.27
39,12211,20110307,1,313,$3578.27,$286.2616,$2171.2942,$3578.27
39,12212,20110327,1,313,$3578.27,$286.2616,$2171.2942,$3578.27
39,12217,20110323,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,12219,20110324,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12220,20110309,1,314,$3578.27,$286.2616,$2171.2942,$3578.27
39,12221,20110302,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,12254,20110316,1,313,$3578.27,$286.2616,$2171.2942,$3578.27
39,12255,20110321,1,313,$3578.27,$286.2616,$2171.2942,$3578.27
39,12256,20110330,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,12261,20110422,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12265,20110426,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12267,20110401,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,12279,20110513,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,12280,20110513,1,314,$3578.27,$286.2616,$2171.2942,$3578.27
39,12285,20110530,1,313,$3578.27,$286.2616,$2171.2942,$3578.27
39,12290,20110506,1,310,$3578.27,$286.2616,$2171.2942,$3578.27
39,12296,20110519,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12300,20110524,1,311,$3578.27,$286.2616,$2171.2942,$3578.27
39,12301,20110510,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12307,20110529,1,310,$3578.27,$286.2616,$2171.2942,$3578.27
39,12308,20110603,1,314,$3578.27,$286.2616,$2171.2942,$3578.27
39,12321,20110602,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12323,20110624,1,314,$3578.27,$286.2616,$2171.2942,$3578.27
39,12332,20110613,1,313,$3578.27,$286.2616,$2171.2942,$3578.27
39,12333,20110618,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12373,20110627,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12383,20110531,1,310,$3578.27,$286.2616,$2171.2942,$3578.27
39,12395,20110619,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,12398,20110617,1,312,$3578.27,$286.2616,$2171.2942,$3578.27
39,17956,20110120,1,342,$699.0982,$55.9279,$413.1463,$699.0982
39,17957,20110128,1,326,$699.0982,$55.9279,$413.1463,$699.0982
39,17971,20110222,1,342,$699.0982,$55.9279,$413.1463,$699.0982
39,17973,20110321,1,334,$699.0982,$55.9279,$413.1463,$699.0982
39,17975,20110331,1,328,$699.0982,$55.9279,$413.1463,$699.0982
39,17982,20110519,1,342,$699.0982,$55.9279,$413.1463,$699.0982
39,17987,20110505,1,330,$699.0982,$55.9279,$413.1463,$699.0982
39,17996,20110607,1,322,$699.0982,$55.9279,$413.1463,$699.0982
39,17999,20110624,1,338,$699.0982,$55.9279,$413.1463,$699.0982
39,18004,20110610,1,320,$699.0982,$55.9279,$413.1463,$699.0982
39,28389,20101229,1,346,$3399.99,$271.9992,$1912.1544,$3399.99
39,28390,20110124,1,350,$3374.99,$269.9992,$1898.0944,$3374.99
39,28393,20110127,1,348,$3374.99,$269.9992,$1898.0944,$3374.99
39,28394,20110223,1,344,$3399.99,$271.9992,$1912.1544,$3399.99
39,28395,20110228,1,349,$3374.99,$269.9992,$1898.0944,$3374.99
39,28401,20110321,1,349,$3374.99,$269.9992,$1898.0944,$3374.99
39,28407,20110514,1,350,$3374.99,$269.9992,$1898.0944,$3374.99
39,28414,20110521,1,346,$3399.99,$271.9992,$1912.1544,$3399.99
39,28418,20110607,1,348,$3374.99,$269.9992,$1898.0944,$3374.99
