CurrencyKey,CustomerKey,OrderDateKey,OrderQuantity,ProductKey,SalesAmount,TaxAmt,TotalProductCost,UnitPrice
6,11000,20110119,1,344,$3399.99,$271.9992,$1912.1544,$3399.99
6,11000,20130118,1,353,$2319.99,$185.5992,$1265.6195,$2319.99
6,11000,20130118,1,485,$21.98,$1.7584,$8.2205,$21.98
6,11000,20130503,1,214,$34.99,$2.7992,$13.0863,$34.99
6,11000,20130503,1,488,$53.99,$4.3192,$41.5723,$53.99
6,11000,20130503,1,530,$4.99,$0.3992,$1.8663,$4.99
6,11000,20130503,1,541,$28.99,$2.3192,$10.8423,$28.99
6,11000,20130503,1,573,$2384.07,$190.7256,$1481.9379,$2384.07
6,11001,20110115,1,350,$3374.99,$269.9992,$1898.0944,$3374.99
6,11001,20130116,1,225,$8.99,$0.7192,$6.9223,$8.99
6,11001,20130116,1,353,$2319.99,$185.5992,$1265.6195,$2319.99
6,11001,20130116,1,477,$4.99,$0.3992,$1.8663,$4.99
6,11001,20130116,1,478,$9.99,$0.7992,$3.7363,$9.99
6,11001,20130116,1,485,$21.98,$1.7584,$8.2205,$21.98
6,11001,20130116,1,491,$53.99,$4.3192,$41.5723,$53.99
6,11001,20131210,1,217,$34.99,$2.7992,$13.0863,$34.99
6,11001,20131210,1,477,$4.99,$0.3992,$1.8663,$4.99
6,11001,20131210,1,479,$8.99,$0.7192,$3.3623,$8.99
6,11001,20131210,1,604,$539.99,$43.1992,$343.6496,$539.99
6,11002,20110107,1,346,$3399.99,$271.9992,$1912.1544,$3399.99
6,11002,20121231,1,359,$2294.99,$183.5992,$1251.9813,$2294.99
6,11002,20130223,1,222,$34.99,$2.7992,$13.0863,$34.99
6,11002,20130223,1,561,$2384.07,$190.7256,$1481.9379,$2384.07
6,11003,20101229,1,346,$3399.99,$271.9992,$1912.1544,$3399.99
6,11003,20130105,1,225,$8.99,$0.7192,$6.9223,$8.99
6,11003,20130105,1,361,$2294.99,$183.5992,$1251.9813,$2294.99
6,11003,20130105,1,477,$4.99,$0.3992,$1.8663,$4.99
6,11003,20130105,1,478,$9.99,$0.7992,$3.7363,$9.99
6,11003,20130510,1,480,$2.29,$0.1832,$0.8565,$2.29
6,11003,20130510,1,530,$4.99,$0.3992,$1.8663,$4.99
6,11003,20130510,1,541,$28.99,$2.3192,$10.8423,$28.99
6,11003,20130510,1,564,$2384.07,$190.7256,$1481.9379,$2384.07
6,11004,20110123,1,345,$3399.99,$271.9992,$1912.1544,$3399.99
6,11004,20130122,1,214,$34.99,$2.7992,$13.0863,$34.99
6,11004,20130122,1,355,$2319.99,$185.5992,$1265.6195,$2319.99
6,11004,20130122,1,485,$21.98,$1.7584,$8.2205,$21.98
6,11004,20130501,1,217,$34.99,$2.7992,$13.0863,$34.99
6,11004,20130501,1,562,$2384.07,$190.7256,$1481.9379,$2384.07
