CurrencyKey,CustomerKey,OrderDateKey,OrderQuantity,ProductKey,SalesAmount,TaxAmt,TotalProductCost,UnitPrice
19,11019,20130212,1,482,$8.99,$0.7192,$3.3623,$8.99
19,11019,20130212,1,529,$3.99,$0.3192,$1.4923,$3.99
19,11019,20130212,1,539,$24.99,$1.9992,$9.3463,$24.99
19,11019,20130304,1,491,$53.99,$4.3192,$41.5723,$53.99
19,11019,20130313,1,222,$34.99,$2.7992,$13.0863,$34.99
19,11019,20130313,1,482,$8.99,$0.7192,$3.3623,$8.99
19,11019,20130313,1,529,$3.99,$0.3192,$1.4923,$3.99
19,11019,20130428,1,479,$8.99,$0.7192,$3.3623,$8.99
19,11019,20130508,1,480,$2.29,$0.1832,$0.8565,$2.29
19,11019,20130508,1,530,$4.99,$0.3992,$1.8663,$4.99
19,11019,20130525,1,483,$120,$9.6,$44.88,$120
19,11019,20130525,1,529,$3.99,$0.3192,$1.4923,$3.99
19,11019,20130525,1,539,$24.99,$1.9992,$9.3463,$24.99
19,11019,20130723,1,480,$2.29,$0.1832,$0.8565,$2.29
19,11019,20130723,1,537,$35,$2.8,$13.09,$35
19,11019,20130822,1,480,$2.29,$0.1832,$0.8565,$2.29
19,11019,20130908,1,535,$24.99,$1.9992,$9.3463,$24.99
19,11019,20130919,1,480,$2.29,$0.1832,$0.8565,$2.29
19,11019,20130919,1,538,$21.49,$1.7192,$8.0373,$21.49
19,11019,20131017,1,480,$2.29,$0.1832,$0.8565,$2.29
19,11019,20131017,1,528,$4.99,$0.3992,$1.8663,$4.99
19,11019,20131017,1,536,$29.99,$2.3992,$11.2163,$29.99
19,11019,20131026,1,214,$34.99,$2.7992,$13.0863,$34.99
19,11019,20131129,1,228,$49.99,$3.9992,$38.4923,$49.99
19,11019,20131129,1,463,$24.49,$1.9592,$9.1593,$24.49
19,11019,20131130,1,530,$4.99,$0.3992,$1.8663,$4.99
19,11019,20131130,1,541,$28.99,$2.3192,$10.8423,$28.99
19,11019,20131210,1,475,$69.99,$5.5992,$26.1763,$69.99
19,11019,20131210,1,491,$53.99,$4.3192,$41.5723,$53.99
19,11020,20121229,1,363,$2294.99,$183.5992,$1251.9813,$2294.99
19,11020,20121229,1,485,$21.98,$1.7584,$8.2205,$21.98
19,11037,20130120,1,361,$2294.99,$183.5992,$1251.9813,$2294.99
