DateKey,Date,CurrencyKey,AverageRate
20101229,2010-12-29 00:00:00,3,1
20101229,2010-12-29 00:00:00,6,0.645536117745788
20101229,2010-12-29 00:00:00,14,0.00157601953885984
20101229,2010-12-29 00:00:00,16,0.516022498580938
20101229,2010-12-29 00:00:00,19,0.683013455365071
20101229,2010-12-29 00:00:00,29,0.52723150735488
20101229,2010-12-29 00:00:00,36,1.03124677735382
20101229,2010-12-29 00:00:00,39,0.157205514769458
20101229,2010-12-29 00:00:00,61,0.106678045658204
20101229,2010-12-29 00:00:00,85,0.266616898179007
20101229,2010-12-29 00:00:00,98,1.61733786187935
20101229,2010-12-29 00:00:00,100,1
20101229,2010-12-29 00:00:00,102,0.00953197979220284
20101229,2010-12-29 00:00:00,103,0.120800666819681
20101230,2010-12-30 00:00:00,3,1
20101230,2010-12-30 00:00:00,6,0.642714827431069
20101230,2010-12-30 00:00:00,14,0.00157666535277887
20101230,2010-12-30 00:00:00,16,0.517089818501474
20101230,2010-12-30 00:00:00,19,0.682081713389264
20101230,2010-12-30 00:00:00,29,0.528429507503699
20101230,2010-12-30 00:00:00,36,1.0334849111203
20101230,2010-12-30 00:00:00,39,0.157559715132035
20101230,2010-12-30 00:00:00,61,0.106440728480346
20101230,2010-12-30 00:00:00,85,0.266616898179007
20101230,2010-12-30 00:00:00,98,1.62179695102173
20101230,2010-12-30 00:00:00,100,1
20101230,2010-12-30 00:00:00,102,0.00946073793755913
20101230,2010-12-30 00:00:00,103,0.120800666819681
20101231,2010-12-31 00:00:00,3,1
20101231,2010-12-31 00:00:00,6,0.641354540790149
20101231,2010-12-31 00:00:00,14,0.00157542339503742
20101231,2010-12-31 00:00:00,16,0.516555607211116
20101231,2010-12-31 00:00:00,19,0.681570338058888
20101231,2010-12-31 00:00:00,29,0.532028091083209
20101231,2010-12-31 00:00:00,36,1.04058272632674
20101231,2010-12-31 00:00:00,39,0.158626925334306
20101231,2010-12-31 00:00:00,61,0.106894708711919
20101231,2010-12-31 00:00:00,85,0.26663111585122
20101231,2010-12-31 00:00:00,98,1.62443144899285
20101231,2010-12-31 00:00:00,100,1
20101231,2010-12-31 00:00:00,102,0.00947597839476926
20101231,2010-12-31 00:00:00,103,0.120800666819681
20110101,2011-01-01 00:00:00,3,1
20110101,2011-01-01 00:00:00,6,0.639181847235539
20110101,2011-01-01 00:00:00,14,0.00157294534014943
20110101,2011-01-01 00:00:00,16,0.518268981601451
20110101,2011-01-01 00:00:00,19,0.681570338058888
20110101,2011-01-01 00:00:00,29,0.531603848811865
20110101,2011-01-01 00:00:00,36,1.03982530934803
20110101,2011-01-01 00:00:00,39,0.158503724837534
