CurrencyKey,CustomerKey,OrderDateKey,OrderQuantity,ProductKey,SalesAmount,TaxAmt,TotalProductCost,UnitPrice
100,11012,20130316,1,217,$34.99,$2.7992,$13.0863,$34.99
100,11012,20130316,1,528,$4.99,$0.3992,$1.8663,$4.99
100,11012,20130316,1,537,$35,$2.8,$13.09,$35
100,11013,20130413,1,217,$34.99,$2.7992,$13.0863,$34.99
100,11013,20130413,1,529,$3.99,$0.3192,$1.4923,$3.99
100,11014,20130323,1,217,$34.99,$2.7992,$13.0863,$34.99
100,11014,20130323,1,529,$3.99,$0.3192,$1.4923,$3.99
100,11014,20130430,1,217,$34.99,$2.7992,$13.0863,$34.99
100,11014,20130430,1,465,$24.49,$1.9592,$9.1593,$24.49
100,11014,20130430,1,528,$4.99,$0.3992,$1.8663,$4.99
100,11014,20130430,1,537,$35,$2.8,$13.09,$35
100,11015,20130118,1,353,$2319.99,$185.5992,$1265.6195,$2319.99
100,11015,20130118,1,485,$21.98,$1.7584,$8.2205,$21.98
100,11015,20130118,1,486,$159,$12.72,$59.466,$159
100,11016,20130209,1,363,$2294.99,$183.5992,$1251.9813,$2294.99
100,11016,20130209,1,480,$2.29,$0.1832,$0.8565,$2.29
100,11016,20130209,1,537,$35,$2.8,$13.09,$35
100,11021,20130123,1,363,$2294.99,$183.5992,$1251.9813,$2294.99
100,11021,20130123,1,485,$21.98,$1.7584,$8.2205,$21.98
100,11021,20130123,1,487,$54.99,$4.3992,$20.5663,$54.99
100,11022,20130120,1,353,$2319.99,$185.5992,$1265.6195,$2319.99
100,11022,20130120,1,480,$2.29,$0.1832,$0.8565,$2.29
100,11023,20130217,1,485,$21.98,$1.7584,$8.2205,$21.98
100,11023,20130217,1,490,$53.99,$4.3192,$41.5723,$53.99
100,11023,20130217,1,528,$4.99,$0.3992,$1.8663,$4.99
100,11023,20130217,1,537,$35,$2.8,$13.09,$35
100,11036,20130122,1,217,$34.99,$2.7992,$13.0863,$34.99
100,11036,20130122,1,357,$2319.99,$185.5992,$1265.6195,$2319.99
100,11040,20130403,1,353,$2319.99,$185.5992,$1265.6195,$2319.99
100,11040,20130403,1,481,$8.99,$0.7192,$3.3623,$8.99
100,11040,20130403,1,485,$21.98,$1.7584,$8.2205,$21.98
100,11041,20130114,1,359,$2294.99,$183.5992,$1251.9813,$2294.99
100,11041,20130114,1,471,$63.5,$5.08,$23.749,$63.5
100,11041,20130114,1,485,$21.98,$1.7584,$8.2205,$21.98
100,11042,20130121,1,355,$2319.99,$185.5992,$1265.6195,$2319.99
100,11043,20130508,1,225,$8.99,$0.7192,$6.9223,$8.99
